observation_date,JTSJOL
2000-12-01,5088
2001-01-01,5234
2001-02-01,5097
2001-03-01,4762
2001-04-01,4615
2001-05-01,4425
2001-06-01,4361
2001-07-01,4447
2001-08-01,4024
2001-09-01,4071
2001-10-01,3707
2001-11-01,3775
2001-12-01,3677
2002-01-01,3699
2002-02-01,3436
2002-03-01,3612
2002-04-01,3471
2002-05-01,3457
2002-06-01,3412
2002-07-01,3367
2002-08-01,3517
2002-09-01,3301
2002-10-01,3479
2002-11-01,3514
2002-12-01,3169
2003-01-01,3441
2003-02-01,3229
2003-03-01,3099
2003-04-01,3108
2003-05-01,3289
2003-06-01,3390
2003-07-01,2981
2003-08-01,3190
2003-09-01,3091
2003-10-01,3305
2003-11-01,3324
2003-12-01,3414
2004-01-01,3424
2004-02-01,3532
2004-03-01,3525
2004-04-01,3511
2004-05-01,3710
2004-06-01,3337
2004-07-01,3814
2004-08-01,3541
2004-09-01,3821
2004-10-01,3943
2004-11-01,3472
2004-12-01,4074
2005-01-01,3804
2005-02-01,3965
2005-03-01,4044
2005-04-01,4159
2005-05-01,3797
2005-06-01,4062
2005-07-01,4256
2005-08-01,4142
2005-09-01,4352
2005-10-01,4184
2005-11-01,4248
2005-12-01,4282
2006-01-01,4397
2006-02-01,4325
2006-03-01,4732
2006-04-01,4790
2006-05-01,4463
2006-06-01,4614
2006-07-01,4394
2006-08-01,4710
2006-09-01,4737
2006-10-01,4591
2006-11-01,4645
2006-12-01,4620
2007-01-01,4763
2007-02-01,4699
2007-03-01,4962
2007-04-01,4689
2007-05-01,4657
2007-06-01,4859
2007-07-01,4598
2007-08-01,4546
2007-09-01,4652
2007-10-01,4636
2007-11-01,4646
2007-12-01,4545
2008-01-01,4624
2008-02-01,4279
2008-03-01,4225
2008-04-01,4035
2008-05-01,4194
2008-06-01,3830
2008-07-01,3749
2008-08-01,3674
2008-09-01,3222
2008-10-01,3377
2008-11-01,3231
2008-12-01,3146
2009-01-01,2738
2009-02-01,2864
2009-03-01,2534
2009-04-01,2295
2009-05-01,2549
2009-06-01,2503
2009-07-01,2232
2009-08-01,2338
2009-09-01,2487
2009-10-01,2406
2009-11-01,2503
2009-12-01,2568
2010-01-01,2837
2010-02-01,2666
2010-03-01,2679
2010-04-01,3153
2010-05-01,2988
2010-06-01,2801
2010-07-01,3082
2010-08-01,2999
2010-09-01,2918
2010-10-01,3235
2010-11-01,3211
2010-12-01,3058
2011-01-01,3104
2011-02-01,3226
2011-03-01,3261
2011-04-01,3259
2011-05-01,3179
2011-06-01,3455
2011-07-01,3623
2011-08-01,3329
2011-09-01,3774
2011-10-01,3619
2011-11-01,3565
2011-12-01,3768
2012-01-01,3909
2012-02-01,3616
2012-03-01,3979
2012-04-01,3793
2012-05-01,3835
2012-06-01,3911
2012-07-01,3735
2012-08-01,3809
2012-09-01,3882
2012-10-01,3775
2012-11-01,3878
2012-12-01,3970
2013-01-01,3923
2013-02-01,4004
2013-03-01,4076
2013-04-01,3988
2013-05-01,4145
2013-06-01,4150
2013-07-01,3885
2013-08-01,4085
2013-09-01,4128
2013-10-01,4222
2013-11-01,4119
2013-12-01,4121
2014-01-01,4127
2014-02-01,4373
2014-03-01,4388
2014-04-01,4566
2014-05-01,4747
2014-06-01,4982
2014-07-01,4846
2014-08-01,5349
2014-09-01,4914
2014-10-01,5012
2014-11-01,4843
2014-12-01,5130
2015-01-01,5344
2015-02-01,5466
2015-03-01,5210
2015-04-01,5598
2015-05-01,5563
2015-06-01,5248
2015-07-01,6056
2015-08-01,5467
2015-09-01,5488
2015-10-01,5773
2015-11-01,5708
2015-12-01,5845
2016-01-01,6012
2016-02-01,5770
2016-03-01,6129
2016-04-01,5803
2016-05-01,5777
2016-06-01,5742
2016-07-01,5962
2016-08-01,5677
2016-09-01,5868
2016-10-01,5591
2016-11-01,5971
2016-12-01,5964
2017-01-01,5617
2017-02-01,5923
2017-03-01,5811
2017-04-01,6091
2017-05-01,5826
2017-06-01,6305
2017-07-01,6238
2017-08-01,6276
2017-09-01,6320
2017-10-01,6408
2017-11-01,6271
2017-12-01,6336
2018-01-01,6621
2018-02-01,6552
2018-03-01,6818
2018-04-01,6877
2018-05-01,7016
2018-06-01,7230
2018-07-01,7190
2018-08-01,7208
2018-09-01,7411
2018-10-01,7304
2018-11-01,7594
2018-12-01,7489
2019-01-01,7502
2019-02-01,7066
2019-03-01,7317
2019-04-01,7272
2019-05-01,7275
2019-06-01,7194
2019-07-01,7042
2019-08-01,7178
2019-09-01,7124
2019-10-01,7289
2019-11-01,6888
2019-12-01,6699
2020-01-01,7124
2020-02-01,6966
2020-03-01,5894
2020-04-01,4606
2020-05-01,5612
2020-06-01,6129
2020-07-01,6530
2020-08-01,6429
2020-09-01,6511
2020-10-01,6798
2020-11-01,6820
2020-12-01,6773
2021-01-01,7204
2021-02-01,7752
2021-03-01,8470
2021-04-01,9356
2021-05-01,9905
2021-06-01,10298
2021-07-01,11049
2021-08-01,10956
2021-09-01,10879
2021-10-01,11341
2021-11-01,11119
2021-12-01,11417
2022-01-01,11238
2022-02-01,11661
2022-03-01,12134
2022-04-01,11881
2022-05-01,11483
2022-06-01,11256
2022-07-01,11610
2022-08-01,10148
2022-09-01,10812
2022-10-01,10488
2022-11-01,10619
2022-12-01,10876
2023-01-01,10393
2023-02-01,9846
2023-03-01,9572
2023-04-01,9992
2023-05-01,9310
2023-06-01,9191
2023-07-01,8606
2023-08-01,9287
2023-09-01,9279
2023-10-01,8550
2023-11-01,8663
2023-12-01,8585
2024-01-01,8468
2024-02-01,8445
2024-03-01,8093
2024-04-01,7619
2024-05-01,7901
2024-06-01,7412
2024-07-01,7504
2024-08-01,7649
2024-09-01,7103
2024-10-01,7615
2024-11-01,8031
2024-12-01,7508
2025-01-01,7762
2025-02-01,7480
2025-03-01,7200
2025-04-01,7395
2025-05-01,7712
2025-06-01,7357
2025-07-01,7208
2025-08-01,7227
2025-09-01,7658
2025-10-01,7449
2025-11-01,7146
